SensorName,Date-Time(Wave),Name(Wave),Speed(Wave),Launch(Wave),Dir(Wave),BS(Wave),SS(Wave),TS(Wave),SA(Wave),Carry(Wave),Total(Wave),HeadSpeed(Wave),AA(Wave),CP(Wave),SP(Wave),SD(Wave),ML1_SP(Wave),ML1_LA(Wave),ML1_DA(Wave),ML1_BS(Wave),ML1_SS(Wave),ML1_SR(Wave),ML1_SA(Wave),RCT_MEA(Wave),RCT_MEA_AI(Wave),,SensorName,Date-Time(GCQ),ForesightSports:PLAYER1-2025-01-14¿ÀÀü10:4Club(GCQ),Ball(GCQ),BallSpeed(GCQ),LaunchAngle(GCQ),SideAngle(GCQ),Backspin(GCQ),Sidespin(GCQ),TiltAngle(GCQ),TotalSpin(GCQ),Carry(GCQ),Total(GCQ),Offline(GCQ),DescentAngle(GCQ),PeakHeight(GCQ),ClubSpeed(GCQ),Efficiency(GCQ),AngleofAttack(GCQ),ClubPath(GCQ),FacetoPath(GCQ),Lie(GCQ),Loft(GCQ),ClosureRate(GCQ),FaceImpactLateral(GCQ),FaceImpactVertical(GCQ),,SensorName,Date-Time(TM4),Date(TM4),TMDNo(TM4),TMDFilename(TM4),Player(TM4),Club(TM4),Ball(TM4),ClubSpeed(TM4),AttackAngle(TM4),ClubPath(TM4),LowPoint(TM4),SwingPlane(TM4),SwingDirection(TM4),Dyn.Loft(TM4),FaceAngle(TM4),FaceToPath(TM4),BallSpeed(TM4),SmashFactor(TM4),LaunchAngle(TM4),LaunchDirection(TM4),SpinRate(TM4),SpinRateType(TM4),SpinAxis(TM4),MaxHeight-Dist.(TM4),MaxHeight-Height(TM4),MaxHeight-Side(TM4),LastdataPoint-Length(TM4),LastdataPoint-Side(TM4),LastdataPoint-Height(TM4),LastdataPoint-Time(TM4),CarryFlat-Length(TM4),CarryFlat-Side(TM4),CarryFlat-Land.Angle(TM4),CarryFlat-BallSpeed(TM4),CarryFlat-Time(TM4),Est.TotalFlat-Length(TM4),Est.TotalFlat-Side(TM4),DynamicLie(TM4),ImpactOffset(TM4),ImpactHeight(TM4),Curve(TM4),SpinAxis(Sim)(TM4),Curve(Sim)(TM4),Carry(Sim)(TM4),Total(Sim)(TM4),CarrySide(Sim)(TM4),Totalside(Sim)(TM4),LandingAngle(Sim)(TM4),UseInStat(TM4),Tags(TM4),Condition(TM4),Email(TM4),,SensorName,Date-Time(GRadar),Name(GRadar),Speed(GRadar),Launch(GRadar),Dir(GRadar),BS(GRadar),SS(GRadar),TS(GRadar),SA(GRadar),Carry(GRadar),Total(GRadar),HeadSpeed(GRadar),AA(GRadar),CP(GRadar),SP(GRadar),SD(GRadar),ML1_SP(GRadar),ML1_LA(GRadar),ML1_DA(GRadar),ML1_BS(GRadar),ML1_SS(GRadar),ML1_SR(GRadar),ML1_SA(GRadar),RCT_MEA(GRadar),RCT_MEA_AI(GRadar),,
Wave,20250114_084045, SD_2025.01.14_08.40.45_026, 57.91, 16.01, 2.76, 3689.3, 1149.8, 3864.3, 17.3, 181.8, 192.8, 43.3, -1.6, -3.6, 38.3, -7.7, 58.53, 15.34, -0.55, 3458.2, 594.3, 3489.9, 8.9, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084252, SD_2025.01.14_08.42.52_029, 59.42, 9.98, -2.08, 2229.5, 360.0, 2258.4, 9.2, 184.5, 206.2, 45.0, 0.1, -4.8, 42.7, -5.4, 34.45, 23.80, -0.72, 2369.3, -128.3, 2357.9, -3.3, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084338, SD_2025.01.14_08.43.38_030, 60.46, 7.78, -5.09, 2300.3, -479.9, 2349.8, -11.8, 179.1, 206.1, 45.9, -0.6, -4.4, 40.4, -5.0, 46.14, 16.70, -3.43, 1885.1, -166.0, 2063.4, -14.2, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084418, SD_2025.01.14_08.44.18_031, 60.96, 12.24, -4.58, 2617.6, -393.9, 2647.1, -8.6, 199.0, 219.1, 45.6, 0.7, -3.6, 42.5, -2.4, 61.33, 14.36, -3.44, 2336.4, -465.2, 2509.3, -14.2, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084503, SD_2025.01.14_08.45.03_032, 59.15, 11.40, 0.01, 2570.2, 169.4, 2575.8, 3.8, 188.8, 208.2, 44.1, -0.4, -1.0, 42.3, -1.8, 59.64, 11.39, -2.11, 3418.9, 109.5, 3452.8, 2.6, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084548, SD_2025.01.14_08.45.48_033, 57.35, 13.24, 3.40, 3130.7, 459.0, 3164.2, 8.3, 180.4, 195.3, 44.0, 98765.0, 98765.0, 98765.0, 98765.0, 25.24, 26.73, 1.23, 2176.1, -85.2, 2172.2, -5.1, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084655, SD_2025.01.14_08.46.55_034, 56.54, 16.32, 5.01, 3259.1, 1463.1, 3572.4, 24.2, 175.3, 188.5, 42.5, 0.9, -2.8, 41.2, -3.5, 57.37, 16.85, 1.07, 3892.7, -149.0, 3985.9, -3.1, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084751, SD_2025.01.14_08.47.51_035, 58.10, 17.62, 1.10, 3913.6, 997.8, 4038.8, 14.3, 183.1, 191.9, 42.5, -1.4, -5.0, 41.5, -8.4, 59.17, 18.84, -1.41, 3642.7, -199.0, 3690.4, -5.3, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084844, SD_2025.01.14_08.48.44_037, 60.98, 7.17, -7.70, 1646.5, -794.7, 1828.3, -25.8, 163.8, 196.0, 44.0, 1.5, -6.5, 40.2, -4.0, 76.29, 19.30, 3.04, 5413.3, 336.2, 5452.9, 3.1, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_084950, SD_2025.01.14_08.49.50_038, 58.93, 12.75, -0.80, 3025.1, 459.2, 3059.7, 8.6, 188.3, 204.8, 44.0, -1.4, -3.8, 40.7, -6.6, 34.17, 23.78, -0.10, 2503.8, -96.5, 2504.3, -4.9, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085108, SD_2025.01.14_08.51.08_039, 60.44, 7.56, -3.96, 1476.7, 15.5, 1476.7, 0.6, 171.6, 203.3, 42.5, 2.4, -5.5, 41.3, -2.5, 74.33, 16.03, -1.51, 7569.5, 641.9, 7597.4, 7.3, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085216, SD_2025.01.14_08.52.16_040, 58.70, 12.11, 2.83, 2956.3, 778.8, 3057.1, 14.8, 184.3, 201.4, 44.0, -1.7, -1.0, 42.8, -4.3, 59.36, 13.33, -0.09, 3321.6, -48.5, 3376.3, -1.4, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
